SymptomText,Label
i have hemorrhoids,General Surgeon
my bottom hurts,General Surgeon
i have rectal bleeding,Gastroenterologist
my bowels are blocked,General Surgeon
i have diverticulitis,Gastroenterologist
i have inflammatory bowel disease,Gastroenterologist
i have crohn's disease,Gastroenterologist
i have ulcerative colitis,Gastroenterologist
i have celiac disease,Gastroenterologist
i'm lactose intolerant,Gastroenterologist
i have food poisoning,General Physician
i have the stomach flu,General Physician
i have a viral infection,General Physician
i have a bacterial infection,Infectious Disease Specialist
i have strep throat,General Physician
i have bronchitis,Pulmonologist
i have pneumonia,Pulmonologist
my asthma is acting up,Pulmonologist
i have copd,Pulmonologist
i have emphysema,Pulmonologist
i have a lung infection,Pulmonologist
i have a chest infection,Pulmonologist
i might have tuberculosis,Pulmonologist
i'm worried about lung cancer,Oncologist
i'm worried about breast cancer,Oncologist
i'm worried about colon cancer,Oncologist
i'm worried about prostate cancer,Urologist
i'm worried about skin cancer,Dermatologist
i'm worried about a brain tumor,Neurologist
i have liver disease,Hepatologist
i have hepatitis,Hepatologist
i have cirrhosis,Hepatologist
i have fatty liver,Hepatologist
my skin is yellow,Hepatologist
my eyes are yellow,Hepatologist
my urine is dark,Hepatologist
my stools are pale,Hepatologist
my belly is swollen,Hepatologist
i'm retaining fluid,Cardiologist
i have edema,Cardiologist
i have kidney disease,Nephrologist
my kidneys are failing,Nephrologist
i need dialysis,Nephrologist
my creatinine is high,Nephrologist
i have protein in my urine,Nephrologist
i have blood in my urine,Urologist
i think i have lupus,Rheumatologist
i have rheumatoid arthritis,Rheumatologist
i have fibromyalgia,Rheumatologist
i have chronic pain,Pain Management Specialist
i have neuropathy,Neurologist
i have diabetic neuropathy,Endocrinologist
i have peripheral neuropathy,Neurologist
my sciatica is killing me,Neurologist
i have chronic fatigue syndrome,General Physician
i have an autoimmune disease,Rheumatologist
i think i have multiple sclerosis,Neurologist
i think i have parkinson's disease,Neurologist
i think i have alzheimer's,Neurologist
i think i have dementia,Neurologist
i think i had a stroke,Neurologist
i think i had a mini stroke,Neurologist
i have brain fog,Neurologist
my thinking is getting worse,Neurologist
i think i have adhd,Psychiatrist
i think i'm bipolar,Psychiatrist
i think i have schizophrenia,Psychiatrist
i have ocd,Psychiatrist
i have ptsd,Psychiatrist
i have an eating disorder,Psychiatrist
i have a drinking problem,Psychiatrist
i have a drug problem,Psychiatrist
i'm going through withdrawal,Psychiatrist
i have panic disorder,Psychiatrist
i have social anxiety,Psychiatrist
i have phobias,Psychiatrist
i'm thinking about suicide,Psychiatrist
i want to hurt myself,Psychiatrist
i'm being abused,Psychiatrist
i have trauma,Psychiatrist
i need grief counseling,Psychiatrist
i need marriage counseling,Psychiatrist
my child has behavior problems,Pediatrician
my child has developmental delays,Pediatrician
i think my child has autism,Pediatrician
my child has learning disabilities,Pediatrician
my child has speech delays,Speech Therapist
my child can't hear well,Otolaryngologist
my child can't see well,Ophthalmologist
my child has lazy eye,Ophthalmologist
my child's eyes are crossed,Ophthalmologist
my child is color blind,Ophthalmologist
i can't see at night,Ophthalmologist
i have cataracts,Ophthalmologist
i have glaucoma,Ophthalmologist
i have macular degeneration,Ophthalmologist
i have diabetic eye problems,Ophthalmologist
i see floaters,Ophthalmologist
i see flashes of light,Ophthalmologist
my eye twitches,Ophthalmologist
i have a stye,Ophthalmologist
i have pink eye,Ophthalmologist
my eyes are dry,Ophthalmologist
my eyes are allergic,Allergist
my contacts bother me,Ophthalmologist
i think i'm pregnant,Gynecologist
i have morning sickness,Gynecologist
i'm having pregnancy complications,Gynecologist
i had a miscarriage,Gynecologist
i can't get pregnant,Reproductive Endocrinologist
we're having fertility problems,Reproductive Endocrinologist
i have pcos,Gynecologist
i have endometriosis,Gynecologist
i have ovarian cysts,Gynecologist
i have fibroids,Gynecologist
i need a pap smear,Gynecologist
my pap smear was abnormal,Gynecologist
i think i have an std,General Physician
i think i have hiv,Infectious Disease Specialist
i think i have herpes,General Physician
i think i have syphilis,General Physician
i think i have gonorrhea,Urologist
i think i have chlamydia,Urologist
i think i have hpv,Gynecologist
i have genital warts,Dermatologist
i have cold sores,General Physician
i have canker sores,General Physician
i have thrush in my mouth,General Physician
i have a nail fungus,Dermatologist
i have ringworm,Dermatologist
i have impetigo,Dermatologist
i have cellulitis,General Physician
i have an abscess,General Surgeon
i have a boil,General Physician
i have a cyst,General Surgeon
i have a fatty tumor,General Surgeon
i have warts,Dermatologist
my mole changed,Dermatologist
i have a birthmark,Dermatologist
i have age spots,Dermatologist
i have wrinkles,Dermatologist
i have sun damage,Dermatologist
i have stretch marks,Dermatologist
i have scars,Dermatologist
i got burned,General Physician
my wound won't heal,General Physician
i have cuts and scrapes,General Physician
i got stung by a bee,General Physician
i got bit by a spider,General Physician
i got bit by a snake,Emergency Medicine
i think i was poisoned,Emergency Medicine
i think i overdosed,Emergency Medicine
i think i'm having a heart attack,Cardiologist
i think i'm having a stroke,Neurologist
i'm having a severe allergic reaction,Emergency Medicine
i think i broke my bone,Orthopedist
i hit my head,Neurologist
i have a concussion,Neurologist
i have whiplash,Orthopedist
i have a sports injury,Sports Medicine
i hurt myself exercising,Sports Medicine
i'm dehydrated,General Physician
i have heat exhaustion,General Physician
i have heat stroke,Emergency Medicine
i have hypothermia,Emergency Medicine
i have frostbite,Emergency Medicine
i have altitude sickness,General Physician
i have jet lag,General Physician
i need travel medicine advice,General Physician
i need vaccinations,General Physician
i need a physical exam,General Physician
my blood test results are abnormal,General Physician
my cholesterol is high,Cardiologist
i need diabetes screening,Endocrinologist
i need cancer screening,Oncologist
i need a colonoscopy,Gastroenterologist
i need a mammogram,Gynecologist
i need a bone density test,Endocrinologist
i need an eye exam,Ophthalmologist
i need a hearing test,Otolaryngologist
i need a dental checkup,Dentist
i need skin cancer screening,Dermato
i have headache,General Physician
my head hurts,General Physician
head pain,General Physician
severe headache,Neurologist
migraine headache,Neurologist
throbbing head pain,Neurologist
pressure in head,General Physician
pain behind eyes,Neurologist
cluster headaches,Neurologist
tension headache,General Physician
headache with nausea,Neurologist
chronic headaches,Neurologist
splitting headache,Neurologist
headache every day,Neurologist
headache and dizziness,Neurologist
my stomach hurts,Gastroenterologist
stomach pain,Gastroenterologist
upset stomach,Gastroenterologist
stomach ache,General Physician
nausea with pain,Gastroenterologist
cramps in abdomen,Gastroenterologist
abdominal pain,General Physician
severe stomach pain,Gastroenterologist
burning stomach pain,Gastroenterologist
stomach pain after eating,Gastroenterologist
stomach pain and bloating,Gastroenterologist
upper stomach pain,Gastroenterologist
lower stomach pain,General Physician
sharp stomach pain,General Surgeon
stomach pain and vomiting,Gastroenterologist
chest pain,Cardiologist
chest hurts,Cardiologist
sharp chest pain,Cardiologist
chest tightness,Cardiologist
pressure in chest,Cardiologist
burning chest pain,Cardiologist
chest pain when breathing,Pulmonologist
chest pain and shortness of breath,Cardiologist
left chest pain,Cardiologist
right chest pain,Pulmonologist
back pain,Orthopedist
lower back pain,Orthopedist
upper back pain,Orthopedist
back pain and stiffness,Rheumatologist
chronic back pain,Orthopedist
sharp back pain,Orthopedist
back pain when walking,Orthopedist
back pain radiating down leg,Neurologist
neck pain,Orthopedist
stiff neck,General Physician
neck pain and headache,Neurologist
neck hurts to turn,Orthopedist
sore throat,General Physician
throat pain,Otolaryngologist
throat hurts when swallowing,Otolaryngologist
strep throat symptoms,General Physician
dry throat,General Physician
scratchy throat,General Physician
hoarse voice,Otolaryngologist
lost voice,Otolaryngologist
throat feels tight,Otolaryngologist
ear pain,Otolaryngologist
ear hurts,Otolaryngologist
ear infection,Otolaryngologist
ringing in ears,Otolaryngologist
ear pressure,Otolaryngologist
ears feel clogged,Otolaryngologist
hearing loss,Otolaryngologist
ear discharge,Otolaryngologist
itchy ears,Otolaryngologist
eye pain,Ophthalmologist
eyes hurt,Ophthalmologist
eye irritation,Ophthalmologist
red eyes,Ophthalmologist
itchy eyes,Allergist
watery eyes,Allergist
blurred vision,Ophthalmologist
double vision,Ophthalmologist
vision problems,Ophthalmologist
eye discharge,Ophthalmologist
burning eyes,Ophthalmologist
dry eyes,Ophthalmologist
floaters in vision,Ophthalmologist
sudden vision loss,Ophthalmologist
joint pain,Rheumatologist
knee pain,Orthopedist
ankle pain,Orthopedist
wrist pain,Orthopedist
shoulder pain,Orthopedist
hip pain,Orthopedist
elbow pain,Orthopedist
joint swelling,Rheumatologist
joint stiffness,Rheumatologist
arthritis pain,Rheumatologist
joint pain and swelling,Rheumatologist
muscle pain,General Physician
muscle aches,General Physician
muscle cramps,General Physician
muscle weakness,Neurologist
muscle spasms,Neurologist
muscle strain,General Physician
sore muscles,General Physician
muscle fatigue,General Physician
skin rash,Dermatologist
itchy skin,Dermatologist
red rash,Dermatologist
skin irritation,Dermatologist
hives,Allergist
eczema,Dermatologist
psoriasis,Dermatologist
acne,Dermatologist
skin bumps,Dermatologist
dry skin,Dermatologist
oily skin,Dermatologist
skin discoloration,Dermatologist
mole changes,Dermatologist
hair loss,Dermatologist
bald spots,Dermatologist
thinning hair,Dermatologist
scalp itching,Dermatologist
dandruff,Dermatologist
fatigue,General Physician
tired all the time,General Physician
exhaustion,General Physician
no energy,General Physician
weakness,General Physician
chronic fatigue,General Physician
always sleepy,General Physician
dizziness,General Physician
feeling dizzy,General Physician
lightheaded,General Physician
vertigo,Otolaryngologist
balance problems,Neurologist
spinning sensation,Otolaryngologist
room spinning,Otolaryngologist
nausea,Gastroenterologist
feeling sick,General Physician
queasy stomach,Gastroenterologist
morning sickness,Gynecologist
vomiting,Gastroenterologist
throwing up,General Physician
can't keep food down,Gastroenterologist
blood in vomit,Gastroenterologist
fever,General Physician
high temperature,General Physician
chills,General Physician
fever and chills,Infectious Disease Specialist
night sweats,General Physician
body aches with fever,General Physician
fever won't break,Infectious Disease Specialist
low grade fever,General Physician
cough,General Physician
persistent cough,Pulmonologist
dry cough,Pulmonologist
wet cough,Pulmonologist
cough with phlegm,Pulmonologist
bloody cough,Pulmonologist
chronic cough,Pulmonologist
cough and fever,General Physician
whooping cough,Pulmonologist
shortness of breath,Pulmonologist
can't breathe,Pulmonologist
difficulty breathing,Pulmonologist
wheezing,Pulmonologist
chest congestion,Pulmonologist
breathing problems,Pulmonologist
out of breath,Cardiologist
rapid breathing,Pulmonologist
sleep problems,General Physician
can't sleep,General Physician
insomnia,Neurologist
sleep apnea,Pulmonologist
snoring,Otolaryngologist
restless sleep,Neurologist
nightmares,Psychiatrist
sleepwalking,Neurologist
anxiety,Psychiatrist
panic attacks,Psychiatrist
depression,Psychiatrist
mood swings,Psychiatrist
stress,Psychiatrist
feeling overwhelmed,Psychiatrist
can't concentrate,Psychiatrist
memory problems,Neurologist
forgetfulness,Neurologist
confusion,Neurologist
weight loss,General Physician
losing weight,Endocrinologist
unexplained weight loss,Oncologist
can't gain weight,General Physician
weight gain,Endocrinologist
gaining weight,Endocrinologist
can't lose weight,Endocrinologist
obesity,Endocrinologist
frequent urination,Urologist
urinating often,Endocrinologist
painful urination,Urologist
burning when urinating,Urologist
blood in urine,Urologist
dark urine,General Physician
cloudy urine,Urologist
can't urinate,Urologist
urinary incontinence,Urologist
bed wetting,Urologist
constipation,General Physician
can't have bowel movement,Gastroenterologist
hard stools,General Physician
irregular bowel movements,Gastroenterologist
diarrhea,General Physician
loose stools,General Physician
frequent diarrhea,Gastroenterologist
bloody diarrhea,Gastroenterologist
chronic diarrhea,Gastroenterologist
gas and bloating,Gastroenterologist
heartburn,Gastroenterologist
acid reflux,Gastroenterologist
indigestion,General Physician
stomach burning,Gastroenterologist
swallowing problems,Gastroenterologist
loss of appetite,General Physician
no appetite,General Physician
don't want to eat,General Physician
food doesn't taste good,General Physician
irregular periods,Gynecologist
missed period,Gynecologist
heavy periods,Gynecologist
painful periods,Gynecologist
period cramps,Gynecologist
no period,Gynecologist
bleeding between periods,Gynecologist
pms symptoms,Gynecologist
menopause symptoms,Gynecologist
hot flashes,Gynecologist
breast pain,Gynecologist
breast lump,Oncologist
breast discharge,Gynecologist
swollen breasts,Gynecologist
vaginal discharge,Gynecologist
vaginal itching,Gynecologist
vaginal bleeding,Gynecologist
pelvic pain,Gynecologist
erectile dysfunction,Urologist
premature ejaculation,Urologist
low libido,Urologist
testicular pain,Urologist
swollen testicles,Urologist
prostate problems,Urologist
blood pressure high,Cardiologist
low blood pressure,Cardiologist
heart palpitations,Cardiologist
irregular heartbeat,Cardiologist
fast heart rate,Cardiologist
slow heart rate,Cardiologist
heart murmur,Cardiologist
swollen legs,Cardiologist
swollen feet,Cardiologist
leg cramps,General Physician
leg pain,General Physician
varicose veins,Phlebologist
blood clots,Hematologist
easy bruising,Hematologist
excessive bleeding,Hematologist
nosebleeds,Otolaryngologist
bleeding gums,Dentist
tooth pain,Dentist
toothache,Dentist
dental pain,Dentist
jaw pain,Dentist
mouth sores,Dentist
bad breath,Dentist
gum disease,Dentist
sensitive teeth,Dentist
wisdom tooth pain,Oral Surgeon
numbness in hands,Neurologist
tingling in fingers,Neurologist
hand pain,General Physician
carpal tunnel,Orthopedist
arthritis in hands,Rheumatologist
swollen fingers,Rheumatologist
trigger finger,Orthopedist
numbness in feet,Neurologist
foot pain,Podiatrist
heel pain,Podiatrist
toe pain,Podiatrist
ingrown toenail,Podiatrist
plantar fasciitis,Podiatrist
bunions,Podiatrist
athlete's foot,Dermatologist
cold feet,General Physician
swollen lymph nodes,General Physician
swollen glands,General Physician
enlarged lymph nodes,Oncologist
lumps in neck,General Physician
lumps under arms,General Physician
allergic reactions,Allergist
food allergies,Allergist
seasonal allergies,Allergist
hay fever,Allergist
runny nose,General Physician
stuffy nose,General Physician
nasal congestion,General Physician
sinus pressure,General Physician
sinus infection,General Physician
post nasal drip,Otolaryngologist
sneezing,Allergist
itchy nose,Allergist
loss of smell,Otolaryngologist
loss of taste,General Physician
bad taste in mouth,General Physician
dry mouth,General Physician
excessive saliva,General Physician
difficulty swallowing,Gastroenterologist
choking sensation,Gastroenterologist
lump in throat,Otolaryngologist
voice changes,Otolaryngologist
speech problems,Neurologist
slurred speech,Neurologist
stuttering,Speech Therapist
tremors,Neurologist
shaking hands,Neurologist
muscle twitching,Neurologist
seizures,Neurologist
fainting,Neurologist
blackouts,Neurologist
loss of consciousness,Neurologist
paralysis,Neurologist
facial numbness,Neurologist
facial pain,Neurologist
bell's palsy,Neurologist
trigeminal neuralgia,Neurologist
migraine with aura,Neurologist
cluster headache,Neurologist
tension headache,General Physician
sinus headache,General Physician
hormonal headache,Gynecologist
diabetic symptoms,Endocrinologist
blood sugar high,Endocrinologist
blood sugar low,Endocrinologist
excessive thirst,Endocrinologist
frequent hunger,Endocrinologist
thyroid problems,Endocrinologist
hyperthyroidism,Endocrinologist
hypothyroidism,Endocrinologist
goiter,Endocrinologist
hormone imbalance,Endocrinologist
adrenal fatigue,Endocrinologist
cushing's syndrome,Endocrinologist
addison's disease,Endocrinologist
growth hormone deficiency,Endocrinologist
osteoporosis,Endocrinologist
bone pain,Orthopedist
fracture symptoms,Orthopedist
broken bone,Orthopedist
sprained ankle,Orthopedist
torn ligament,Orthopedist
herniated disc,Orthopedist
sciatica,Neurologist
pinched nerve,Neurologist
carpal tunnel syndrome,Neurologist
tennis elbow,Orthopedist
frozen shoulder,Orthopedist
rotator cuff injury,Orthopedist
knee injury,Orthopedist
acl tear,Orthopedist
meniscus tear,Orthopedist
shin splints,Orthopedist
stress fracture,Orthopedist
plantar fasciitis,Podiatrist
achilles tendon pain,Orthopedist
heel spur,Podiatrist
bunion pain,Podiatrist
hammer toe,Podiatrist
ingrown toenail infection,Podiatrist
fungal infection,Dermatologist
yeast infection,Gynecologist
urinary tract infection,Urologist
kidney infection,Urologist
bladder infection,Urologist
kidney stones,Urologist
gallbladder pain,General Surgeon
gallstones,General Surgeon
appendicitis symptoms,General Surgeon
hernia,General Surgeon
hemorrhoids,General Surgeon
anal pain,General Surgeon
rectal bleeding,Gastroenterologist
bowel obstruction,General Surgeon
diverticulitis,Gastroenterologist
inflammatory bowel disease,Gastroenterologist
crohn's disease,Gastroenterologist
ulcerative colitis,Gastroenterologist
celiac disease,Gastroenterologist
lactose intolerance,Gastroenterologist
food poisoning,General Physician
stomach flu,General Physician
viral infection,General Physician
bacterial infection,Infectious Disease Specialist
strep throat,General Physician
bronchitis,Pulmonologist
pneumonia,Pulmonologist
asthma,Pulmonologist
copd,Pulmonologist
emphysema,Pulmonologist
lung infection,Pulmonologist
chest infection,Pulmonologist
tuberculosis,Pulmonologist
lung cancer symptoms,Oncologist
breast cancer symptoms,Oncologist
colon cancer symptoms,Oncologist
prostate cancer symptoms,Urologist
skin cancer symptoms,Dermatologist
brain tumor symptoms,Neurologist
liver disease,Hepatologist
hepatitis,Hepatologist
cirrhosis,Hepatologist
fatty liver,Hepatologist
jaundice,Hepatologist
yellow eyes,Hepatologist
dark urine,Hepatologist
pale stools,Hepatologist
abdominal swelling,Hepatologist
fluid retention,Cardiologist
edema,Cardiologist
